(1-0),7995.0,(0-1),16353.0
(2-1),7437.0,(1-2),15729.0
(3-2),7242.0,(2-3),15219.0
(4-3),6285.0,(3-4),15963.0
(5-4),7008.0,(4-5),13635.0
(6-5),7185.0,(5-6),17946.0
(7-6),7383.0,(6-7),21150.0
(8-7),6078.0,(7-8),25305.0
(9-8),6678.0,(8-9),26667.0
(10-9),6525.0,(9-10),27219.0
(11-10),6132.0,(10-11),25860.0
(12-11),6696.0,(11-12),24711.0
(0-23),8562.0,(23-0),19362.0
(13-12),5895.0,(12-13),22905.0
(14-13),6636.0,(13-14),24150.0
(15-14),12954.0,(14-15),27744.0
(17-16),2043.0,(16-17),36804.0
(18-17),2208.0,(17-18),35109.0
(19-18),3399.0,(18-19),33183.0
(20-19),5319.0,(19-20),29154.0
(21-20),5376.0,(20-21),27681.0
(22-21),6780.0,(21-22),23934.0
(23-22),7836.0,(22-23),22833.0
(25-24),3834.0,(24-25),42582.0
(26-25),4977.0,(25-26),41292.0
(27-26),4842.0,(26-27),40893.0
(41-15),2835.0,(15-41),6690.0
(29-28),4995.0,(28-29),29814.0
(16-42),1230.0,(42-16),41550.0
(30-29),4506.0,(29-30),28320.0
(31-30),4407.0,(30-31),27948.0
(24-39),2709.0,(39-24),42600.0
(32-31),5079.0,(31-32),30369.0
(33-32),5466.0,(32-33),33180.0
(34-33),5397.0,(33-34),34347.0
(42-27),5205.0,(27-42),40374.0
(35-34),5250.0,(34-35),36852.0
(36-35),6402.0,(35-36),39594.0
(37-36),5130.0,(36-37),39615.0
(38-37),5304.0,(37-38),40521.0
(39-38),2784.0,(38-39),42267.0
